,Unnamed: 0.1,Unnamed: 0,userid,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetid,tweetcreatedts,retweetcount,text,hashtags,language,coordinates,favorite_count,is_retweet,original_tweet_id,original_tweet_userid,original_tweet_username,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,quoted_status_id,quoted_status_userid,quoted_status_username,extractedts,neg,neu,pos,compound
75,146,146,1506384424602157057,Carmelides,"Neo-FFL account (Forces Françaises Libres). Ally to NAFO. Free Ukraine! Jokes, memes, unusual news & occasional sh*tposting. With some real news.",Brittany oblast.,630,358,3078,2022-03-22 21:37:07.000000,1566579269446369281,2022-09-05 00:09:38,0,"So true. #Russian terror 👺is the best #NATO recruiter. #Russia #Russians #StandWithUkraine #UkraineWillWin #StopPutin #StopPutinNOW
https://t.co/yDtNafwjvZ","[{'text': 'Russian', 'indices': [9, 17]}, {'text': 'NATO', 'indices': [38, 43]}, {'text': 'Russia', 'indices': [55, 62]}, {'text': 'Russians', 'indices': [63, 72]}, {'text': 'StandWithUkraine', 'indices': [73, 90]}, {'text': 'UkraineWillWin', 'indices': [91, 106]}, {'text': 'StopPutin', 'indices': [107, 117]}, {'text': 'StopPutinNOW', 'indices': [118, 131]}]",en,,3,False,0,0,,0,0,,True,1566539611777777664,784784523590406144,reconghostsamar,2022-09-05 12:31:15.472618,0.153,0.543,0.304,0.5617
10468,21936,21936,1638681392,TalitaLaurindo,ws ꄲꄲⳊꕃꕃཏᏎᒿᏎཏⳄⳊⳊߗ,"الرياض, المملكة العربية السعود",1,2,69,2013-08-01 19:27:11.000000,1566779817118568448,2022-09-05 13:26:32,0,"#khersonkhobar
#Kherson #khobar_massage #massagekhobar
#massagedammam 
#massagefullservices 
#RELX 
#khobar_massage 
https://t.co/JnPaCJdzb8
Contact my WhatsApp +966543628385 https://t.co/jRiaz9n4Ih","[{'text': 'khersonkhobar', 'indices': [0, 14]}, {'text': 'Kherson', 'indices': [15, 23]}, {'text': 'khobar_massage', 'indices': [24, 39]}, {'text': 'massagekhobar', 'indices': [40, 54]}, {'text': 'massagedammam', 'indices': [55, 69]}, {'text': 'massagefullservices', 'indices': [71, 91]}, {'text': 'RELX', 'indices': [93, 98]}, {'text': 'khobar_massage', 'indices': [100, 115]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 16:46:54.345143,0.0,1.0,0.0,0.0
11052,23145,23145,218313101,AsianTigersJp,"An American who has been living in Tokyo, Japan for 35 years.","Tokyo, Japan",31,101,6916,2010-11-22 00:38:01.000000,1566787023536398336,2022-09-05 13:55:10,1,"#trump #trumpwarroom #donaldjtrumpjr #repmtg #CatalinaLauf #kimKBaltimore #karilake #seanhannity #TuckerCarlson #TedCruz #Covid #Vaccine #virus #Pfizer #Moderna #Mandate #trudeau #Canada #Ukraine #Russia #Putin

When looking at this, please FOLLOW me. https://t.co/DA8xrnwQ4b","[{'text': 'trump', 'indices': [0, 6]}, {'text': 'trumpwarroom', 'indices': [7, 20]}, {'text': 'donaldjtrumpjr', 'indices': [21, 36]}, {'text': 'repmtg', 'indices': [37, 44]}, {'text': 'CatalinaLauf', 'indices': [45, 58]}, {'text': 'kimKBaltimore', 'indices': [59, 73]}, {'text': 'karilake', 'indices': [74, 83]}, {'text': 'seanhannity', 'indices': [84, 96]}, {'text': 'TuckerCarlson', 'indices': [97, 111]}, {'text': 'TedCruz', 'indices': [112, 120]}, {'text': 'Covid', 'indices': [121, 127]}, {'text': 'Vaccine', 'indices': [128, 136]}, {'text': 'virus', 'indices': [137, 143]}, {'text': 'Pfizer', 'indices': [144, 151]}, {'text': 'Moderna', 'indices': [152, 160]}, {'text': 'Mandate', 'indices': [161, 169]}, {'text': 'trudeau', 'indices': [170, 178]}, {'text': 'Canada', 'indices': [179, 186]}, {'text': 'Ukraine', 'indices': [187, 195]}, {'text': 'Russia', 'indices': [196, 203]}, {'text': 'Putin', 'indices': [204, 210]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 17:31:01.113693,0.0,0.914,0.086,0.3869
860,1424,1424,787818795553398784,remiforce,"#Professional in #career development #administration, Interest in #politics and #current affairs. Religious #agnostic .Experience running #groups and #seminars",,3628,1331,13565,2016-10-17 00:53:32.000000,1566602716348039168,2022-09-05 01:42:48,1,#Ukraine's offensive around #Kherson going very well. 25 #Russian tanks were destroyed in a single day. #Russiantroops are trapped &amp; will be defeated https://t.co/viw6YUtvMm,"[{'text': 'Ukraine', 'indices': [0, 8]}, {'text': 'Kherson', 'indices': [28, 36]}, {'text': 'Russian', 'indices': [57, 65]}, {'text': 'Russiantroops', 'indices': [104, 118]}]",en,,2,False,0,0,,0,0,,True,1566557906593615872,1495480590572961792,UAWeapons,2022-09-05 09:02:24.163199,0.373,0.557,0.07,-0.8836
13544,28288,28288,1525294493271855105,JohnnyL55189795,Legendary Movie And Television Producer,,4,36,3044,2022-05-14 01:58:45.000000,1566816837995638789,2022-09-05 15:53:38,0,@chaxx9966 @LansdellBilly Where has #Russia taken more than a couple of kilometers in the last 30 days? And why has Russia stopped publishing certain economic data?,"[{'text': 'Russia', 'indices': [36, 43]}]",en,,1,False,0,0,,1566811305507446784,1234084426893668352,chaxx9966,False,0,0,,2022-09-05 19:17:15.469264,0.067,0.846,0.087,0.1431
1547,2565,2565,1445349661540188165,AbdulHaadi119,"Love Pakistan from Indonesia

Visit Muhammad Qasim's Official
https://t.co/jDH2hQVKQd
https://t.co/4K8jQXeSyL
Google It: Muhammad Qasim Dreams",Pakistan,233,471,6767,2021-10-05 11:27:24.000000,1566625257070346241,2022-09-05 03:12:22,0,@alrai What are the sequence of events to unfold before World War 3? What are the events that will take place during World War 3? https://t.co/WWlkWIG8F1  #MuhammadQasimDreams #Russia #Ukraine #worldwar3,"[{'text': 'MuhammadQasimDreams', 'indices': [155, 175]}, {'text': 'Russia', 'indices': [176, 183]}, {'text': 'Ukraine', 'indices': [184, 192]}, {'text': 'worldwar3', 'indices': [193, 203]}]",en,,0,False,0,0,,1566425731801939968,84311137,alrai,False,0,0,,2022-09-05 08:45:56.463984,0.226,0.774,0.0,-0.8466
4850,9599,9599,1245736685863940097,MilitaryAgentt,News aggregator who covers Conflicts/Geopolitics and urgent news from around the world. Donate : https://t.co/D26fYxqMwS 💙😽,Bruxelles ,28,4355,2321,2020-04-02 15:36:02.000000,1566699360343441408,2022-09-05 08:06:50,0,"Ukrainian helicopters at low altitudes.

#UkraineRussiaWar #UkraineWar #UkraineUnderAttack https://t.co/EybaiKWsJx","[{'text': 'UkraineRussiaWar', 'indices': [41, 58]}, {'text': 'UkraineWar', 'indices': [59, 70]}, {'text': 'UkraineUnderAttack', 'indices': [71, 90]}]",en,,1,False,0,0,,0,0,,False,0,0,,2022-09-05 13:31:49.518538,0.208,0.792,0.0,-0.2732
14238,29794,29794,1498118847605444611,Baboeska22,World Freedom Fighter,,130,9,558,2022-02-28 02:12:59.000000,1566825990340362242,2022-09-05 16:30:00,0,#RussianArmy #Putinwar will kill you! Putin doesn't care for you or your safety. When #Putinswar is over you will be death or wounded. Your best option is Refuse to fight and #surrender. You and your comrades will life and will be protected. #Russia needs freedom and #humanrights,"[{'text': 'RussianArmy', 'indices': [0, 12]}, {'text': 'Putinwar', 'indices': [13, 22]}, {'text': 'Putinswar', 'indices': [86, 96]}, {'text': 'surrender', 'indices': [175, 185]}, {'text': 'Russia', 'indices': [242, 249]}, {'text': 'humanrights', 'indices': [268, 280]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 19:17:01.445095,0.239,0.555,0.206,-0.3004
640,1089,1089,1562185310716710913,Coraath,Creating my own sunshine,"New Jersey, USA",36,1,15,2022-08-23 21:10:24.000000,1566596091659026432,2022-09-05 01:16:28,0,CNN political analyst defends Biden’s use of ‘semi-fascism’ to attack Republicans  #biden #bidenspeech #CNNIsTheNewFox #CNN,"[{'text': 'biden', 'indices': [83, 89]}, {'text': 'bidenspeech', 'indices': [90, 102]}, {'text': 'CNNIsTheNewFox', 'indices': [103, 118]}, {'text': 'CNN', 'indices': [119, 123]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 07:45:49.405891,0.181,0.819,0.0,-0.4767
16112,33887,33887,1130874198920957952,danrami2009,Possunt quia posse videntur.,España 🇪🇦🇪🇦🇪🇦,1806,49,2930,2019-05-21 16:33:14.000000,1566850675438493701,2022-09-05 18:08:06,0,"High rates + austerity is less income, - demand, -  growth &amp; - - revenue. Monetary policy simply cannot fix POLITICAL &amp; #ClimateCrisis made #SupplyChains problems (supply driven inflation) by sending the world econ into stagnation and misery.

#USA #Europe #China #Russia #Ukraine https://t.co/Aelzk2Mb6J","[{'text': 'ClimateCrisis', 'indices': [128, 142]}, {'text': 'SupplyChains', 'indices': [148, 161]}, {'text': 'USA', 'indices': [252, 256]}, {'text': 'Europe', 'indices': [257, 264]}, {'text': 'China', 'indices': [265, 271]}, {'text': 'Russia', 'indices': [272, 279]}, {'text': 'Ukraine', 'indices': [280, 288]}]",en,,0,False,0,0,,0,0,,True,1566653713019817984,187919241,rdomenechv,2022-09-05 22:17:27.363344,0.152,0.796,0.052,-0.617
17831,37459,37459,1497716846572851205,Mon8118808,"Respect for all Ukrainians   🇺🇦 
Regardless of the age, they are all HEROES

    🇺🇦     🙇‍♂️🙇‍♂️🙇‍♂️🙇‍♂️     🇺🇦
I love @MriyaReport ❤️",Romania/Uk,1779,380,27631,2022-02-26 23:35:08.000000,1566872988124942336,2022-09-05 19:36:46,0,"Dear God, poor https://t.co/tEMhff8jn9 guys pay a huge price for freedom and you reminds us all how precious is freedom.

Only ignorants are completely blind .

Brakes my heart to see these brave people fighting with all they have to freedom and peace 

#SlavaUkraini https://t.co/BUdoNu9I4Y","[{'text': 'SlavaUkraini', 'indices': [254, 267]}]",en,,1,False,0,0,,0,0,,True,1566871159202775040,2469672430,kohana2022,2022-09-06 01:03:29.050868,0.133,0.411,0.456,0.9786
2989,5460,5460,1531214145906933762,anna_20_04,boritesya-poborete ❤️‍🔥,,23,1,44,2022-05-30 10:01:55.000000,1566668272493383681,2022-09-05 06:03:18,0,"do you agree?

#UkrainianGirls #UkraineWar #UkraineRussianWar #Ukraine https://t.co/Pudd8WcK2u","[{'text': 'UkrainianGirls', 'indices': [15, 30]}, {'text': 'UkraineWar', 'indices': [31, 42]}, {'text': 'UkraineRussianWar', 'indices': [43, 61]}, {'text': 'Ukraine', 'indices': [62, 70]}]",en,,7,False,0,0,,0,0,,False,0,0,,2022-09-05 14:32:00.364229,0.0,0.737,0.263,0.3612
1226,2033,2033,2356127598,Diplomacy140,"Reshaping the World: Ethics, Global Governance, Policy & Strategy in the New Millennium, Editor Pedro Meléndez-Ortiz #DigitalDiplomacy","London, England",1764,4157,127399,2014-02-22 10:09:33.000000,1566614651072307206,2022-09-05 02:30:13,0,"“There is no place for the occupiers on our land,” @ZelenskyyUa 

#Ukraine","[{'text': 'Ukraine', 'indices': [66, 74]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 07:08:28.541999,0.167,0.833,0.0,-0.296
12326,25768,25768,1281240837897121794,The5HbK,Geopolitics - Foreign Policy - International Relations - Sarcasm - Sarcastic Youtuber - https://t.co/AkD6V13ttJ,Everywhere,674,810,41087,2020-07-09 14:56:44.000000,1566802223518171138,2022-09-05 14:55:34,0,"#Breaking: UKraine

#Ukraine️ #Russia https://t.co/PvB9the9ht","[{'text': 'Breaking', 'indices': [0, 9]}, {'text': 'Ukraine️', 'indices': [20, 29]}, {'text': 'Russia', 'indices': [30, 37]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-06 00:32:24.638493,0.0,1.0,0.0,0.0
