,Unnamed: 0.1,Unnamed: 0,userid,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetid,tweetcreatedts,retweetcount,text,hashtags,language,coordinates,favorite_count,is_retweet,original_tweet_id,original_tweet_userid,original_tweet_username,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,quoted_status_id,quoted_status_userid,quoted_status_username,extractedts,neg,neu,pos,compound
13228,27618,27618,16790082,Shakaama,A lost prince of Egypt / Ethiopia AKA lower / upper kingdom. I use words. I have the best words. Any rumors about me... It's just fake. It's fake.,Shakaama,72,2444,64901,2008-10-15 19:47:11.000000,1566812789347270656,2022-09-05 15:37:33,0,"Ladies and gentlement, we went from energy independent under #Trump and paying $2.00 a gallon at the pump, to #Biden attacking the energy sector and begging #OPEC to increase output to lower gas prices, that he inflated. 

And now this. https://t.co/kMjHrAy2il","[{'text': 'Trump', 'indices': [61, 67]}, {'text': 'Biden', 'indices': [110, 116]}, {'text': 'OPEC', 'indices': [157, 162]}]",en,,0,False,0,0,,0,0,,True,1566764573226663936,18856867,zerohedge,2022-09-05 18:16:51.206320,0.109,0.755,0.136,0.0772
15405,32337,32337,1518685545706278915,MixedBreedsRule,"Rebuilding, after Twitter Nazis canceled/Always Choose LIFE #ForTheA Forever #MAGA 🚫 DMs/ Conservative WOMAN/ Dogs/Dogs/Dogs/God/Family|Married/ ⚾️",,1061,654,3288,2022-04-25 20:17:22.000000,1566840794308382722,2022-09-05 17:28:50,0,"#EducationSecretary &amp; #Biden care so greatly ab our nation’s kids, their educ &amp; futures?
Dems have doomed them into insurmountable debt. For what, a supposed win 60 days prior to an election?

Canceling debt for a chosen group inst of all, is also illegal &amp; discriminatory","[{'text': 'EducationSecretary', 'indices': [0, 19]}, {'text': 'Biden', 'indices': [26, 32]}]",en,,1,False,0,0,,0,0,,False,0,0,,2022-09-05 21:17:14.567794,0.219,0.665,0.116,-0.7319
9824,20561,20561,1173142337691639810,smartaidint,"SmartAID integrates technology and innovation in crisis zones globally, with offices in Australia & the US.",Worldwide,1640,427,393,2019-09-15 07:51:50.000000,1566771909211176966,2022-09-05 12:55:07,1,"Our ‘Smart Classes’ program impact on for Ukrainian children!! Join us to set up more ‘Smart Classes’ by reaching us at https://t.co/hD6UgBj4c8 

#Education #psychologicalAID #BackToWork #ukraine #tech #UkrainianArmy #UkraineWar #students #poland #moldova #love #charity #donate https://t.co/5oKtClA7ni","[{'text': 'Education', 'indices': [146, 156]}, {'text': 'psychologicalAID', 'indices': [157, 174]}, {'text': 'BackToWork', 'indices': [175, 186]}, {'text': 'ukraine', 'indices': [187, 195]}, {'text': 'tech', 'indices': [196, 201]}, {'text': 'UkrainianArmy', 'indices': [202, 216]}, {'text': 'UkraineWar', 'indices': [217, 228]}, {'text': 'students', 'indices': [229, 238]}, {'text': 'poland', 'indices': [239, 246]}, {'text': 'moldova', 'indices': [247, 255]}, {'text': 'love', 'indices': [256, 261]}, {'text': 'charity', 'indices': [262, 270]}, {'text': 'donate', 'indices': [271, 278]}]",en,,3,False,0,0,,0,0,,False,0,0,,2022-09-05 16:31:42.579809,0.0,0.734,0.266,0.8906
11683,24452,24452,224592436,GotnoGizmo,"Retired Englishman travelling Europe observing corruption and ecological damage resulting from inept EU policies.
Also strong opponent of Putin and dictatorship","RO, UA, GE, HU or elsewhere.",565,410,103077,2010-12-09 11:19:39.000000,1566794607421161472,2022-09-05 14:25:18,0,"@EU_Commission As much as I love #Ukraine, it nauseates me how the #EU can strive to simplify customs procedures to facilitate this non EU's imports and exports, whilst maintaining it's excessive bureaucratic stance to impede trade to/from the #UK, for their audacity to leave your regime. https://t.co/85dQn6nyYq","[{'text': 'Ukraine', 'indices': [33, 41]}, {'text': 'EU', 'indices': [67, 70]}, {'text': 'UK', 'indices': [244, 247]}]",en,,0,False,0,0,,1566740731405950976,157981564,EU_Commission,False,0,0,,2022-09-05 16:54:33.874880,0.024,0.893,0.083,0.6124
13345,27874,27874,34556625,fritsl,How can the Special Operation be a sucess without Ethnic Cleansing?,Copenhagen,254,379,1832,2009-04-23 06:54:50.000000,1566814387314245635,2022-09-05 15:43:54,0,@RussianEmbassy @mfa_russia @RusEmbUSA @RusMission_EU @FCDOGovUK @BBCWorld @SkyNews @guardian @Telegraph @FinancialTimes @TheEconomist How will #Russia fight global warming?,"[{'text': 'Russia', 'indices': [144, 151]}]",en,,0,False,0,0,,1566780129560387584,114718372,RussianEmbassy,False,0,0,,2022-09-05 17:46:55.430894,0.135,0.781,0.083,-0.25
3548,6775,6775,1319752700993572864,DexterSinister9,"Lawyer40+yrs🇨🇦Ecologist50+yrs😻Animals 🇺🇳UNHCR 🌈
#FBR #BLM #Science ⚛️Art🎨 #SecularHumanist 🇺🇦#SlavaUkraini  #NAFO #RussiaIsATerroristState🚫Z🚫Q
🚫MAGA",,2701,2196,5946,2020-10-23 21:30:48.000000,1566680263979339776,2022-09-05 06:50:57,0,"@Euan_MacDonald @JayinKyiv Expel all Russian nationals who do not qualify as „refugees“
#RussiaIsATerroristState","[{'text': 'RussiaIsATerroristState', 'indices': [88, 112]}]",en,,10,False,0,0,,1566628394053341184,16185879,Euan_MacDonald,False,0,0,,2022-09-05 14:31:54.805237,0.195,0.805,0.0,-0.4404
7200,15011,15011,32408153,onepablo,"Mancish leftish keyboard warrior. Born at 333ppm.
🏴󠁧󠁢󠁷󠁬󠁳󠁿 🇬🇧 🇪🇺 #IAmEuropean #TrussOut","Aberystwyth, Wales",948,668,30739,2009-04-17 13:42:22.000000,1566736300945952768,2022-09-05 10:33:37,0,"Dear #Russia,

For once we are aligned. Few here expect any improvement of any kind whatsoever.

Like, in general. Not just international relations.

#ToryChaos https://t.co/DyXoebNBQF","[{'text': 'Russia', 'indices': [5, 12]}, {'text': 'ToryChaos', 'indices': [150, 160]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 13:16:24.398044,0.0,0.646,0.354,0.8885
20679,43695,43695,1509441149437685767,JSharp1436,Strategic 🌍 Political/Military Analysis & IntPropDev. All content's available under a Creative Commons Attribution 4.0 International license unless otherwise📝,"Europe, The Commonwealth, 🌍",627,86,3296,2022-03-31 08:06:45.000000,1566924279970762753,2022-09-05 23:00:35,0,"ℹCould this 'Great Offices of State' Team, make history, against Putin's War On Europe, and her Allies?

✈#ArmUkraineNow🚀
✊#StandWithUkraine🇺🇦
✌#VictoryInEurope✌

(From L-R: PM, CotE, HS, FS) https://t.co/x93btwu4Qg","[{'text': 'ArmUkraineNow', 'indices': [106, 120]}, {'text': 'StandWithUkraine', 'indices': [123, 140]}, {'text': 'VictoryInEurope', 'indices': [144, 160]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-06 01:40:34.134323,0.097,0.721,0.182,0.5267
15492,32510,32510,1335422654308896770,_SHAN_Official,"Digital Marketing expert.                                   
#Digital #Marketing #Freelancer
#SocialMediaMarketing #Virtualassistant
#LeadsGeneration",Pakistan,242,255,6546,2020-12-06 03:16:03.000000,1566841867739742211,2022-09-05 17:33:06,0,"Real face of the *west* and his so called*human rights* 
No one cares about #Palestine people they are all talking about #Ukriane  
#Israeli  #IsraeliCrimes  *Israel*
*Iranian*  *She's a Trump*
#PrimeMinister 
#USA #Europe #uk https://t.co/mflzrmEVdB","[{'text': 'Palestine', 'indices': [76, 86]}, {'text': 'Ukriane', 'indices': [121, 129]}, {'text': 'Israeli', 'indices': [132, 140]}, {'text': 'IsraeliCrimes', 'indices': [142, 156]}, {'text': 'PrimeMinister', 'indices': [194, 208]}, {'text': 'USA', 'indices': [210, 214]}, {'text': 'Europe', 'indices': [215, 222]}, {'text': 'uk', 'indices': [223, 226]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 20:40:01.984711,0.134,0.866,0.0,-0.6051
11628,24344,24344,966761848820453378,jpmcaction,"Hate Social Media-but TwHitler drove me beyond my limits. Warning:My Better👼‘s take vacations.⏰Save Democracy/Climate 🆘NOW!🌊 🌎#Resistance 
#Ukraine💙🇺🇦💛",World Wanderer and love it!,3102,1732,23161,2018-02-22 19:49:21.000000,1566794003798003714,2022-09-05 14:22:54,0,"@DecampDave @LPNH Simple question:
How much is Putin paying you? 
Get a real life, DAVE

Just a little reminder on WHO started the #RussiaUkraineWar ⬇️
The #RussiaTerroristState 
“Early in the morning on February 24, Russia launched its full-scale invasion of Ukraine.” CBS

https://t.co/ZEDMlZV1I1","[{'text': 'RussiaUkraineWar', 'indices': [131, 148]}, {'text': 'RussiaTerroristState', 'indices': [156, 177]}]",en,,0,False,0,0,,1566637436188463104,1052708860648181760,DecampDave,False,0,0,,2022-09-05 23:04:18.038351,0.0,0.966,0.034,0.128
14877,31149,31149,1400104792584818698,MNadjaf,Egalitarian I Fmr Afghan diplomat I LLM Intl Pub Law+MA Diplomacy & Strat Nego.    I Afghanistan+Intl Affairs I Rule of Law+State Effectiveness & Accountability,,1404,4089,3077,2021-06-02 15:00:09.000000,1566833666940092419,2022-09-05 17:00:31,0,"""The #Investigative Committee of #Russia, the country’s equivalent to the #FBI, said in a statement 
https://t.co/kDuaDLn7Pa
that it would open a #criminal #case into the #attack.""

#Afghanistan https://t.co/WNaQ8uFKiT","[{'text': 'Investigative', 'indices': [5, 19]}, {'text': 'Russia', 'indices': [33, 40]}, {'text': 'FBI', 'indices': [74, 78]}, {'text': 'criminal', 'indices': [146, 155]}, {'text': 'case', 'indices': [156, 161]}, {'text': 'attack', 'indices': [171, 178]}, {'text': 'Afghanistan', 'indices': [182, 194]}]",en,,1,False,0,0,,0,0,,True,1566791021496877056,807095,nytimes,2022-09-05 19:16:47.527508,0.2,0.8,0.0,-0.7579
18050,37945,37945,1502633747082092545,kiosse1809,I'm Frosya and I'm studying to be a journalist 📝,,31,198,5818,2022-03-12 13:13:16.000000,1566876178996248577,2022-09-05 19:49:26,1,"The remains of people killed and burned by the Russians were found in one of the garages in Bucha — Andrii Niebytov, head of the National Police Department in the Kyiv region...

#Ukrainian #Russian #RussiaIsANaziState #RussiaIsATerroristState #Bucha #russiaisateroriststate https://t.co/VorjPpkJ8B","[{'text': 'Ukrainian', 'indices': [179, 189]}, {'text': 'Russian', 'indices': [190, 198]}, {'text': 'RussiaIsANaziState', 'indices': [199, 218]}, {'text': 'RussiaIsATerroristState', 'indices': [219, 243]}, {'text': 'Bucha', 'indices': [244, 250]}, {'text': 'russiaisateroriststate', 'indices': [251, 274]}]",en,,2,False,0,0,,0,0,,False,0,0,,2022-09-06 01:32:14.735371,0.106,0.894,0.0,-0.6705
14564,30468,30468,890011658839441408,gahamalian,STAR WARS and Artificial Intelligence 3.0,STAR WARS ,4028,1943,15375,2017-07-26 00:51:29.000000,1566829833325142016,2022-09-05 16:45:17,0,"other armored vehicles, 9 pickup trucks with heavy machine guns and more than 220 servicemen.

The #Russian Aerospace Forces, rocket troops and artillery are delivering precision strikes against units and reserves of #Ukrainian troops.","[{'text': 'Russian', 'indices': [99, 107]}, {'text': 'Ukrainian', 'indices': [217, 227]}]",en,,2,False,0,0,,1566829758196789248,890011658839441408,gahamalian,False,0,0,,2022-09-05 22:32:18.158788,0.07,0.93,0.0,-0.3612
13509,28214,28214,1392982467888418817,notvlzhrr,ugly and immature swag(swag),im a moastay,142,125,4438,2021-05-13 23:18:05.000000,1566816266949738499,2022-09-05 15:51:22,0,choked on the watermelon https://t.co/C3I6nwVehI,[],en,,0,False,0,0,,0,0,,True,1566806700883345408,1363835114556452864,SEUNGM1NE2,2022-09-06 01:15:46.032147,0.437,0.563,0.0,-0.4767
7044,14635,14635,275218541,hhgreig,,,230,198,15755,2011-03-31 21:20:35.000000,1566733719779565571,2022-09-05 10:23:21,0,One of the many reasons Ukrainians are fighting to defend their land. #StandWithUkriane #ArmUkraineNow https://t.co/xvQNGOeXHC,"[{'text': 'StandWithUkriane', 'indices': [70, 87]}, {'text': 'ArmUkraineNow', 'indices': [88, 102]}]",en,,0,False,0,0,,0,0,,True,1566651946940915712,1537130875296563200,JayinKyiv,2022-09-05 18:32:09.097852,0.152,0.848,0.0,-0.3612
4443,8644,8644,1490809255091396614,RadioJustBack,"Radio - Just Back, we showing how  the world  went back to the Middle Ages.

Ukrainian news agency, working with Deutsch, Polish,and English languages",,2,555,2377,2022-02-07 22:06:47.000000,1566692786862178305,2022-09-05 07:40:42,0,"Rocket strikes on the Antonov bridge, view from the ferry crossing
https://t.co/QExaQVfgDV

#Kherson #Donetsk #Kharkiv #Marinka #Odessa #Mykolayiv #UkraineWar","[{'text': 'Kherson', 'indices': [92, 100]}, {'text': 'Donetsk', 'indices': [101, 109]}, {'text': 'Kharkiv', 'indices': [110, 118]}, {'text': 'Marinka', 'indices': [119, 127]}, {'text': 'Odessa', 'indices': [128, 135]}, {'text': 'Mykolayiv', 'indices': [136, 146]}, {'text': 'UkraineWar', 'indices': [147, 158]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-06 00:47:26.764117,0.122,0.878,0.0,-0.3612
15388,32296,32296,1493779780679790596,caodeaguamom,It's my new account! Alt is @RydeorDye_ aka ..Laurie Milroy Hardman. Cap D Democrat! Daily videos! https://t.co/EnvSB14HNa,"Seattle, WA",1171,1165,31976,2022-02-16 02:59:40.000000,1566840491303661569,2022-09-05 17:27:38,7,"@glennkirschner2 @johnfeal2 @ozthegoatguy @DrFakeJillBide1 @fake_biden @Pleightx @dem_senate WELL, IT'S 
""CROOKED POLITICIANS"" (AND JUDGES) MONDAY ACROSS AMERICA! #StopTheGOP #StopPutinNOW #SlavaUkraïni https://t.co/ewDCgPgPJS","[{'text': 'StopTheGOP', 'indices': [163, 174]}, {'text': 'StopPutinNOW', 'indices': [175, 188]}, {'text': 'SlavaUkraïni', 'indices': [189, 202]}]",en,,15,False,0,0,,0,1003107003693137920,glennkirschner2,False,0,0,,2022-09-05 21:17:14.799750,0.0,0.859,0.141,0.481
1559,2577,2577,49651032,NaturalSci,🇮🇱 Conservative Mizrahi Jew #BestPresidentEver45 #GodBlessUSA #GodBlessTrump THE WORLD KNOWS #TrumpWon #BidenCheated #MAGA #StolenElection #LetsGoBrandon,Rivendell,3396,1914,41431,2009-06-22 14:53:05.000000,1566625390893875200,2022-09-05 03:12:54,0,#LetsGoBrandon  #illegitJoe is  #QuidproJoe #Ukrainian #MoneyLaundering. #bidencrimefamily. BILLIONS of US tax dollars are going to #Ukraine never to be seen again. https://t.co/hmygPRoB93,"[{'text': 'LetsGoBrandon', 'indices': [0, 14]}, {'text': 'illegitJoe', 'indices': [16, 27]}, {'text': 'QuidproJoe', 'indices': [32, 43]}, {'text': 'Ukrainian', 'indices': [44, 54]}, {'text': 'MoneyLaundering', 'indices': [55, 71]}, {'text': 'bidencrimefamily', 'indices': [73, 90]}, {'text': 'Ukraine', 'indices': [132, 140]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 09:01:59.620615,0.0,1.0,0.0,0.0
12460,26063,26063,52571677,ferozwala,W pirsarwarras,E,1979,4440,234077,2009-07-01 00:18:11.000000,1566803895275470853,2022-09-05 15:02:13,0,"President of the EU Commission Ursula von der Leyen: ""Putin is using energy as a weapon. He will fail. Europe will prevail."" 
#Russia @EU #Ukraine #Donbass #Breaking https://t.co/2d5wSv7lN1","[{'text': 'Russia', 'indices': [126, 133]}, {'text': 'Ukraine', 'indices': [138, 146]}, {'text': 'Donbass', 'indices': [147, 155]}, {'text': 'Breaking', 'indices': [156, 165]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-06 00:46:59.979914,0.174,0.762,0.064,-0.5574
602,1027,1027,122519296,ckuhl5,Loving my wife & my life. VP of Protech Metal Finishing. Need a boat top? Check out https://t.co/1TniQEpg2f All tops made in the USA!! #Boomshakalaka,"Syracuse, IN",614,260,5857,2010-03-13 00:34:41.000000,1566594964326432770,2022-09-05 01:12:00,0,I just earned the 'Support for Ukraine' badge on @untappd! https://t.co/X0EtHtFhVs #supportUkraine #Ukraine,"[{'text': 'supportUkraine', 'indices': [83, 98]}, {'text': 'Ukraine', 'indices': [99, 107]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 06:22:47.608841,0.0,0.8,0.2,0.4574
4282,8339,8339,1281240837897121794,The5HbK,Geopolitics - Foreign Policy - International Relations - Sarcasm - Sarcastic Youtuber - https://t.co/AkD6V13ttJ,Everywhere,674,809,41062,2020-07-09 14:56:44.000000,1566690612597985280,2022-09-05 07:32:04,0,"#Breaking: Ukraine

#Ukraine #UkraineRussiaWar #Russia #RussiaUkraineWar https://t.co/uAPCEvtYkS","[{'text': 'Breaking', 'indices': [0, 9]}, {'text': 'Ukraine', 'indices': [20, 28]}, {'text': 'UkraineRussiaWar', 'indices': [29, 46]}, {'text': 'Russia', 'indices': [47, 54]}, {'text': 'RussiaUkraineWar', 'indices': [55, 72]}]",en,,1,False,0,0,,0,0,,False,0,0,,2022-09-05 15:31:49.875604,0.0,1.0,0.0,0.0
9662,20245,20245,2746849516,LemayKara,,,843,92,1102,2014-08-18 22:39:54.000000,1566770071132938245,2022-09-05 12:47:48,0,Hey @POTUS #congress &amp; #senate why are we giving money to #Ukraine? This does not look like a war torn country to me! https://t.co/kho4KYk4gl,"[{'text': 'congress', 'indices': [11, 20]}, {'text': 'senate', 'indices': [27, 34]}, {'text': 'Ukraine', 'indices': [62, 70]}]",en,,0,False,0,0,,0,0,,True,1566562706781601792,15455253,nedryun,2022-09-05 14:39:06.617651,0.27,0.651,0.078,-0.7097
14179,29667,29667,620136960,cgtnamerica,"Watch live: https://t.co/nz0et8flN6 
Material is distributed by MediaLinks TV, LLC on behalf of CCTV. Info available at the Department of Justice in DC.","Washington, DC",2367,289725,133900,2012-06-27 14:45:38.000000,1566825291657449472,2022-09-05 16:27:14,0,"U.S. President Joe #Biden is determined to take every step necessary to shore up energy supplies and lower energy prices: White House 

#US #gas #oil","[{'text': 'Biden', 'indices': [19, 25]}, {'text': 'US', 'indices': [136, 139]}, {'text': 'gas', 'indices': [140, 144]}, {'text': 'oil', 'indices': [145, 149]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 19:47:00.860385,0.074,0.705,0.221,0.5267
15037,31500,31500,1525294493271855105,JohnnyL55189795,Legendary Movie And Television Producer,,4,36,3062,2022-05-14 01:58:45.000000,1566835777987678208,2022-09-05 17:08:54,0,"@EndiabradoO @chaxx9966 @LansdellBilly Not at all, since the West was sending #Ukraine 30-year old surplus equipment in the first place (still better than the modern #Russian junk), and the West has a huge manufacturing base (combined over $50T GDP) as opposed to #Russia very tiny manufacting base ($1.9T GDP).","[{'text': 'Ukraine', 'indices': [78, 86]}, {'text': 'Russian', 'indices': [166, 174]}, {'text': 'Russia', 'indices': [264, 271]}]",en,,0,False,0,0,,1566834772550340608,1049079761715249152,EndiabradoO,False,0,0,,2022-09-06 00:04:12.898365,0.0,0.9,0.1,0.6369
